,Algorithm,Parameters,Distance,CH,BH,Hartigan,xu,DB,S,Rand,Fowlkes-Mallows,Jaccard,Number of clusters
829,mountain,"sigma = 0.3,tol = 1,grid p = 11",Cosine,inf,2.4275586680618506,-3.646151677251026,19.0437246321271,0.0,0.0,0.3288590604026846,0.5734623443633283,0.3288590604026846,1
830,mountain,"sigma = 0.4,tol = 0.1,grid p = 11",Cosine,inf,2.4275586680618506,-3.646151677251026,19.0437246321271,0.0,0.0,0.3288590604026846,0.5734623443633283,0.3288590604026846,1
831,mountain,"sigma = 0.4,tol = 0.2,grid p = 11",Cosine,inf,2.4275586680618506,-3.646151677251026,19.0437246321271,0.0,0.0,0.3288590604026846,0.5734623443633283,0.3288590604026846,1
832,mountain,"sigma = 0.4,tol = 0.3,grid p = 11",Cosine,inf,2.4275586680618506,-3.646151677251026,19.0437246321271,0.0,0.0,0.3288590604026846,0.5734623443633283,0.3288590604026846,1
833,mountain,"sigma = 0.4,tol = 0.4,grid p = 11",Cosine,inf,2.4275586680618506,-3.646151677251026,19.0437246321271,0.0,0.0,0.3288590604026846,0.5734623443633283,0.3288590604026846,1
834,mountain,"sigma = 0.4,tol = 0.5,grid p = 11",Cosine,inf,2.4275586680618506,-3.646151677251026,19.0437246321271,0.0,0.0,0.3288590604026846,0.5734623443633283,0.3288590604026846,1
835,mountain,"sigma = 0.4,tol = 0.6,grid p = 11",Cosine,inf,2.4275586680618506,-3.646151677251026,19.0437246321271,0.0,0.0,0.3288590604026846,0.5734623443633283,0.3288590604026846,1
836,mountain,"sigma = 0.4,tol = 0.7,grid p = 11",Cosine,inf,2.4275586680618506,-3.646151677251026,19.0437246321271,0.0,0.0,0.3288590604026846,0.5734623443633283,0.3288590604026846,1
837,mountain,"sigma = 0.4,tol = 0.8,grid p = 11",Cosine,inf,2.4275586680618506,-3.646151677251026,19.0437246321271,0.0,0.0,0.3288590604026846,0.5734623443633283,0.3288590604026846,1
838,mountain,"sigma = 0.4,tol = 0.9,grid p = 11",Cosine,inf,2.4275586680618506,-3.646151677251026,19.0437246321271,0.0,0.0,0.3288590604026846,0.5734623443633283,0.3288590604026846,1
839,mountain,"sigma = 0.4,tol = 1,grid p = 11",Cosine,inf,2.4275586680618506,-3.646151677251026,19.0437246321271,0.0,0.0,0.3288590604026846,0.5734623443633283,0.3288590604026846,1
840,mountain,"sigma = 0.5,tol = 0.1,grid p = 11",Cosine,inf,2.427558668061852,-3.6461516772510265,19.0437246321271,0.0,0.0,0.3288590604026846,0.5734623443633283,0.3288590604026846,1
841,mountain,"sigma = 0.5,tol = 0.2,grid p = 11",Cosine,inf,2.427558668061852,-3.6461516772510265,19.0437246321271,0.0,0.0,0.3288590604026846,0.5734623443633283,0.3288590604026846,1
842,mountain,"sigma = 0.5,tol = 0.3,grid p = 11",Cosine,inf,2.427558668061852,-3.6461516772510265,19.0437246321271,0.0,0.0,0.3288590604026846,0.5734623443633283,0.3288590604026846,1
843,mountain,"sigma = 0.5,tol = 0.4,grid p = 11",Cosine,inf,2.427558668061852,-3.6461516772510265,19.0437246321271,0.0,0.0,0.3288590604026846,0.5734623443633283,0.3288590604026846,1
844,mountain,"sigma = 0.5,tol = 0.5,grid p = 11",Cosine,inf,2.427558668061852,-3.6461516772510265,19.0437246321271,0.0,0.0,0.3288590604026846,0.5734623443633283,0.3288590604026846,1
845,mountain,"sigma = 0.5,tol = 0.6,grid p = 11",Cosine,inf,2.427558668061852,-3.6461516772510265,19.0437246321271,0.0,0.0,0.3288590604026846,0.5734623443633283,0.3288590604026846,1
846,mountain,"sigma = 0.5,tol = 0.7,grid p = 11",Cosine,inf,2.427558668061852,-3.6461516772510265,19.0437246321271,0.0,0.0,0.3288590604026846,0.5734623443633283,0.3288590604026846,1
847,mountain,"sigma = 0.5,tol = 0.8,grid p = 11",Cosine,inf,2.427558668061852,-3.6461516772510265,19.0437246321271,0.0,0.0,0.3288590604026846,0.5734623443633283,0.3288590604026846,1
848,mountain,"sigma = 0.5,tol = 0.9,grid p = 11",Cosine,inf,2.427558668061852,-3.6461516772510265,19.0437246321271,0.0,0.0,0.3288590604026846,0.5734623443633283,0.3288590604026846,1
849,mountain,"sigma = 0.5,tol = 1,grid p = 11",Cosine,inf,2.427558668061852,-3.6461516772510265,19.0437246321271,0.0,0.0,0.3288590604026846,0.5734623443633283,0.3288590604026846,1
850,mountain,"sigma = 0.6,tol = 0.1,grid p = 11",Cosine,inf,2.427558668061852,-3.6461516772510265,19.0437246321271,0.0,0.0,0.3288590604026846,0.5734623443633283,0.3288590604026846,1
851,mountain,"sigma = 0.6,tol = 0.2,grid p = 11",Cosine,inf,2.427558668061852,-3.6461516772510265,19.0437246321271,0.0,0.0,0.3288590604026846,0.5734623443633283,0.3288590604026846,1
852,mountain,"sigma = 0.6,tol = 0.3,grid p = 11",Cosine,inf,2.427558668061852,-3.6461516772510265,19.0437246321271,0.0,0.0,0.3288590604026846,0.5734623443633283,0.3288590604026846,1
853,mountain,"sigma = 0.6,tol = 0.4,grid p = 11",Cosine,inf,2.427558668061852,-3.6461516772510265,19.0437246321271,0.0,0.0,0.3288590604026846,0.5734623443633283,0.3288590604026846,1
854,mountain,"sigma = 0.6,tol = 0.5,grid p = 11",Cosine,inf,2.427558668061852,-3.6461516772510265,19.0437246321271,0.0,0.0,0.3288590604026846,0.5734623443633283,0.3288590604026846,1
855,mountain,"sigma = 0.6,tol = 0.6,grid p = 11",Cosine,inf,2.427558668061852,-3.6461516772510265,19.0437246321271,0.0,0.0,0.3288590604026846,0.5734623443633283,0.3288590604026846,1
856,mountain,"sigma = 0.6,tol = 0.7,grid p = 11",Cosine,inf,2.427558668061852,-3.6461516772510265,19.0437246321271,0.0,0.0,0.3288590604026846,0.5734623443633283,0.3288590604026846,1
857,mountain,"sigma = 0.6,tol = 0.8,grid p = 11",Cosine,inf,2.427558668061852,-3.6461516772510265,19.0437246321271,0.0,0.0,0.3288590604026846,0.5734623443633283,0.3288590604026846,1
858,mountain,"sigma = 0.6,tol = 0.9,grid p = 11",Cosine,inf,2.427558668061852,-3.6461516772510265,19.0437246321271,0.0,0.0,0.3288590604026846,0.5734623443633283,0.3288590604026846,1
859,mountain,"sigma = 0.6,tol = 1,grid p = 11",Cosine,inf,2.427558668061852,-3.6461516772510265,19.0437246321271,0.0,0.0,0.3288590604026846,0.5734623443633283,0.3288590604026846,1
860,mountain,"sigma = 0.7,tol = 0.1,grid p = 11",Cosine,inf,2.427558668061852,-3.6461516772510265,19.0437246321271,0.0,0.0,0.3288590604026846,0.5734623443633283,0.3288590604026846,1
861,mountain,"sigma = 0.7,tol = 0.2,grid p = 11",Cosine,inf,2.427558668061852,-3.6461516772510265,19.0437246321271,0.0,0.0,0.3288590604026846,0.5734623443633283,0.3288590604026846,1
862,mountain,"sigma = 0.7,tol = 0.3,grid p = 11",Cosine,inf,2.427558668061852,-3.6461516772510265,19.0437246321271,0.0,0.0,0.3288590604026846,0.5734623443633283,0.3288590604026846,1
863,mountain,"sigma = 0.7,tol = 0.4,grid p = 11",Cosine,inf,2.427558668061852,-3.6461516772510265,19.0437246321271,0.0,0.0,0.3288590604026846,0.5734623443633283,0.3288590604026846,1
864,mountain,"sigma = 0.7,tol = 0.5,grid p = 11",Cosine,inf,2.427558668061852,-3.6461516772510265,19.0437246321271,0.0,0.0,0.3288590604026846,0.5734623443633283,0.3288590604026846,1
865,mountain,"sigma = 0.7,tol = 0.6,grid p = 11",Cosine,inf,2.427558668061852,-3.6461516772510265,19.0437246321271,0.0,0.0,0.3288590604026846,0.5734623443633283,0.3288590604026846,1
866,mountain,"sigma = 0.7,tol = 0.7,grid p = 11",Cosine,inf,2.427558668061852,-3.6461516772510265,19.0437246321271,0.0,0.0,0.3288590604026846,0.5734623443633283,0.3288590604026846,1
867,mountain,"sigma = 0.7,tol = 0.8,grid p = 11",Cosine,inf,2.427558668061852,-3.6461516772510265,19.0437246321271,0.0,0.0,0.3288590604026846,0.5734623443633283,0.3288590604026846,1
868,mountain,"sigma = 0.7,tol = 0.9,grid p = 11",Cosine,inf,2.427558668061852,-3.6461516772510265,19.0437246321271,0.0,0.0,0.3288590604026846,0.5734623443633283,0.3288590604026846,1
869,mountain,"sigma = 0.7,tol = 1,grid p = 11",Cosine,inf,2.427558668061852,-3.6461516772510265,19.0437246321271,0.0,0.0,0.3288590604026846,0.5734623443633283,0.3288590604026846,1
870,mountain,"sigma = 0.8,tol = 0.1,grid p = 11",Cosine,inf,2.427558668061852,-3.6461516772510265,19.0437246321271,0.0,0.0,0.3288590604026846,0.5734623443633283,0.3288590604026846,1
